image_id,image_path,label_path,dataset_name,task,split,label_exists
00006c07d2b033d1,datasets\raw\face_detection\images\train\00006c07d2b033d1.jpg,datasets\raw\face_detection\labels\train\00006c07d2b033d1.txt,face_detection,face_detection,train,True
0000bee39176697a,datasets\raw\face_detection\images\train\0000bee39176697a.jpg,datasets\raw\face_detection\labels\train\0000bee39176697a.txt,face_detection,face_detection,train,True
0000eda1171fe14e,datasets\raw\face_detection\images\train\0000eda1171fe14e.jpg,datasets\raw\face_detection\labels\train\0000eda1171fe14e.txt,face_detection,face_detection,train,True
00090bdd55ec42c3,datasets\raw\face_detection\images\train\00090bdd55ec42c3.jpg,datasets\raw\face_detection\labels\train\00090bdd55ec42c3.txt,face_detection,face_detection,train,True
000d1eae99343db8,datasets\raw\face_detection\images\train\000d1eae99343db8.jpg,datasets\raw\face_detection\labels\train\000d1eae99343db8.txt,face_detection,face_detection,train,True
001065b2a612f5ad,datasets\raw\face_detection\images\train\001065b2a612f5ad.jpg,datasets\raw\face_detection\labels\train\001065b2a612f5ad.txt,face_detection,face_detection,train,True
00134c19ee564cad,datasets\raw\face_detection\images\train\00134c19ee564cad.jpg,datasets\raw\face_detection\labels\train\00134c19ee564cad.txt,face_detection,face_detection,train,True
00143d27992ccf33,datasets\raw\face_detection\images\train\00143d27992ccf33.jpg,datasets\raw\face_detection\labels\train\00143d27992ccf33.txt,face_detection,face_detection,train,True
0014d30877173ab7,datasets\raw\face_detection\images\train\0014d30877173ab7.jpg,datasets\raw\face_detection\labels\train\0014d30877173ab7.txt,face_detection,face_detection,train,True
0019f8ef73bbe608,datasets\raw\face_detection\images\train\0019f8ef73bbe608.jpg,datasets\raw\face_detection\labels\train\0019f8ef73bbe608.txt,face_detection,face_detection,train,True
001fbc2036824d74,datasets\raw\face_detection\images\train\001fbc2036824d74.jpg,datasets\raw\face_detection\labels\train\001fbc2036824d74.txt,face_detection,face_detection,train,True
002250249e2eaa0a,datasets\raw\face_detection\images\train\002250249e2eaa0a.jpg,datasets\raw\face_detection\labels\train\002250249e2eaa0a.txt,face_detection,face_detection,train,True
00228d70340dbb12,datasets\raw\face_detection\images\train\00228d70340dbb12.jpg,datasets\raw\face_detection\labels\train\00228d70340dbb12.txt,face_detection,face_detection,train,True
0025ef4ce41f4223,datasets\raw\face_detection\images\train\0025ef4ce41f4223.jpg,datasets\raw\face_detection\labels\train\0025ef4ce41f4223.txt,face_detection,face_detection,train,True
00288c28e836fc12,datasets\raw\face_detection\images\train\00288c28e836fc12.jpg,datasets\raw\face_detection\labels\train\00288c28e836fc12.txt,face_detection,face_detection,train,True
002ba8080b936665,datasets\raw\face_detection\images\train\002ba8080b936665.jpg,datasets\raw\face_detection\labels\train\002ba8080b936665.txt,face_detection,face_detection,train,True
002bf462fff7bb72,datasets\raw\face_detection\images\train\002bf462fff7bb72.jpg,datasets\raw\face_detection\labels\train\002bf462fff7bb72.txt,face_detection,face_detection,train,True
002f645263e7ac99,datasets\raw\face_detection\images\train\002f645263e7ac99.jpg,datasets\raw\face_detection\labels\train\002f645263e7ac99.txt,face_detection,face_detection,train,True
00327877cee2c5d3,datasets\raw\face_detection\images\train\00327877cee2c5d3.jpg,datasets\raw\face_detection\labels\train\00327877cee2c5d3.txt,face_detection,face_detection,train,True
00368472ad681ede,datasets\raw\face_detection\images\train\00368472ad681ede.jpg,datasets\raw\face_detection\labels\train\00368472ad681ede.txt,face_detection,face_detection,train,True
00394770ca22f389,datasets\raw\face_detection\images\train\00394770ca22f389.jpg,datasets\raw\face_detection\labels\train\00394770ca22f389.txt,face_detection,face_detection,train,True
003d3ee9e09c7e26,datasets\raw\face_detection\images\train\003d3ee9e09c7e26.jpg,datasets\raw\face_detection\labels\train\003d3ee9e09c7e26.txt,face_detection,face_detection,train,True
00484de7afe00a5d,datasets\raw\face_detection\images\train\00484de7afe00a5d.jpg,datasets\raw\face_detection\labels\train\00484de7afe00a5d.txt,face_detection,face_detection,train,True
004a1b0ef46ce5e7,datasets\raw\face_detection\images\train\004a1b0ef46ce5e7.jpg,datasets\raw\face_detection\labels\train\004a1b0ef46ce5e7.txt,face_detection,face_detection,train,True
