image_id,image_path,dataset_name,task,split,portrait_score_raw,portrait_score,std,raters
AF1,datasets\processed\scut_fbp5500\images\AF1.jpg,scut_fbp5500,portrait_score,unassigned,2.333333333333333,2.333333333333333,0.6806444271116835,60
AF10,datasets\processed\scut_fbp5500\images\AF10.jpg,scut_fbp5500,portrait_score,unassigned,3.433333333333333,3.433333333333333,0.5928004971139372,60
AF100,datasets\processed\scut_fbp5500\images\AF100.jpg,scut_fbp5500,portrait_score,unassigned,2.9,2.9,0.4395683553021656,60
AF1000,datasets\processed\scut_fbp5500\images\AF1000.jpg,scut_fbp5500,portrait_score,unassigned,3.966666666666667,3.966666666666667,0.7122812876724767,60
AF1001,datasets\processed\scut_fbp5500\images\AF1001.jpg,scut_fbp5500,portrait_score,unassigned,3.733333333333333,3.733333333333333,0.8410378307593313,60
AF1002,datasets\processed\scut_fbp5500\images\AF1002.jpg,scut_fbp5500,portrait_score,unassigned,2.6166666666666667,2.6166666666666667,0.6131791749276647,60
AF1003,datasets\processed\scut_fbp5500\images\AF1003.jpg,scut_fbp5500,portrait_score,unassigned,2.8666666666666667,2.8666666666666667,0.5030977485864633,60
AF1004,datasets\processed\scut_fbp5500\images\AF1004.jpg,scut_fbp5500,portrait_score,unassigned,3.3,3.3,0.6962368581968814,60
AF1005,datasets\processed\scut_fbp5500\images\AF1005.jpg,scut_fbp5500,portrait_score,unassigned,2.216666666666667,2.216666666666667,0.6911465950282972,60
AF1006,datasets\processed\scut_fbp5500\images\AF1006.jpg,scut_fbp5500,portrait_score,unassigned,3.45,3.45,0.6489887831680653,60
AF1007,datasets\processed\scut_fbp5500\images\AF1007.jpg,scut_fbp5500,portrait_score,unassigned,2.7,2.7,0.5614750549117347,60
AF1008,datasets\processed\scut_fbp5500\images\AF1008.jpg,scut_fbp5500,portrait_score,unassigned,2.783333333333333,2.783333333333333,0.6131791749276647,60
AF1009,datasets\processed\scut_fbp5500\images\AF1009.jpg,scut_fbp5500,portrait_score,unassigned,3.8666666666666663,3.8666666666666663,0.8123342942715871,60
AF101,datasets\processed\scut_fbp5500\images\AF101.jpg,scut_fbp5500,portrait_score,unassigned,2.35,2.35,0.5771055773925835,60
AF1010,datasets\processed\scut_fbp5500\images\AF1010.jpg,scut_fbp5500,portrait_score,unassigned,2.583333333333333,2.583333333333333,0.590652229740289,60
AF1011,datasets\processed\scut_fbp5500\images\AF1011.jpg,scut_fbp5500,portrait_score,unassigned,3.1,3.1,0.6814739757767841,60
AF1012,datasets\processed\scut_fbp5500\images\AF1012.jpg,scut_fbp5500,portrait_score,unassigned,2.7666666666666666,2.7666666666666666,0.7217367628174831,60
AF1013,datasets\processed\scut_fbp5500\images\AF1013.jpg,scut_fbp5500,portrait_score,unassigned,3.816666666666667,3.816666666666667,0.7700245795475263,60
AF1014,datasets\processed\scut_fbp5500\images\AF1014.jpg,scut_fbp5500,portrait_score,unassigned,4.316666666666666,4.316666666666666,0.6762726024084975,60
AF1015,datasets\processed\scut_fbp5500\images\AF1015.jpg,scut_fbp5500,portrait_score,unassigned,3.683333333333333,3.683333333333333,0.8128557456749852,60
AF1016,datasets\processed\scut_fbp5500\images\AF1016.jpg,scut_fbp5500,portrait_score,unassigned,3.816666666666667,3.816666666666667,0.5963637459756623,60
AF1017,datasets\processed\scut_fbp5500\images\AF1017.jpg,scut_fbp5500,portrait_score,unassigned,3.5,3.5,0.6509445549041192,60
AF1018,datasets\processed\scut_fbp5500\images\AF1018.jpg,scut_fbp5500,portrait_score,unassigned,3.316666666666667,3.316666666666667,0.5963637459756623,60
AF1019,datasets\processed\scut_fbp5500\images\AF1019.jpg,scut_fbp5500,portrait_score,unassigned,2.083333333333333,2.083333333333333,0.7199733202840949,60
AF102,datasets\processed\scut_fbp5500\images\AF102.jpg,scut_fbp5500,portrait_score,unassigned,2.8,2.8,0.4801129810537007,60
AF1020,datasets\processed\scut_fbp5500\images\AF1020.jpg,scut_fbp5500,portrait_score,unassigned,2.8666666666666667,2.8666666666666667,0.4304773332746763,60
AF1021,datasets\processed\scut_fbp5500\images\AF1021.jpg,scut_fbp5500,portrait_score,unassigned,2.933333333333333,2.933333333333333,0.6856066636017631,60
AF1022,datasets\processed\scut_fbp5500\images\AF1022.jpg,scut_fbp5500,portrait_score,unassigned,3.7666666666666666,3.7666666666666666,0.6207340287621397,60
AF1023,datasets\processed\scut_fbp5500\images\AF1023.jpg,scut_fbp5500,portrait_score,unassigned,3.4,3.4,0.6937981927069209,60
AF1024,datasets\processed\scut_fbp5500\images\AF1024.jpg,scut_fbp5500,portrait_score,unassigned,3.3666666666666667,3.3666666666666667,0.758380671521798,60
AF1025,datasets\processed\scut_fbp5500\images\AF1025.jpg,scut_fbp5500,portrait_score,unassigned,1.8666666666666667,1.8666666666666667,0.6500760494407537,60
AF1026,datasets\processed\scut_fbp5500\images\AF1026.jpg,scut_fbp5500,portrait_score,unassigned,3.65,3.65,0.6593525329532482,60
AF1027,datasets\processed\scut_fbp5500\images\AF1027.jpg,scut_fbp5500,portrait_score,unassigned,3.983333333333333,3.983333333333333,0.7008872504569529,60
AF1028,datasets\processed\scut_fbp5500\images\AF1028.jpg,scut_fbp5500,portrait_score,unassigned,2.1333333333333333,2.1333333333333333,0.7240813388775702,60
AF1029,datasets\processed\scut_fbp5500\images\AF1029.jpg,scut_fbp5500,portrait_score,unassigned,3.95,3.95,0.6223247830459754,60
AF103,datasets\processed\scut_fbp5500\images\AF103.jpg,scut_fbp5500,portrait_score,unassigned,2.6,2.6,0.616166387389926,60
AF1030,datasets\processed\scut_fbp5500\images\AF1030.jpg,scut_fbp5500,portrait_score,unassigned,2.316666666666667,2.316666666666667,0.6762726024084974,60
AF1031,datasets\processed\scut_fbp5500\images\AF1031.jpg,scut_fbp5500,portrait_score,unassigned,4.033333333333333,4.033333333333333,0.8018340558415717,60
AF1032,datasets\processed\scut_fbp5500\images\AF1032.jpg,scut_fbp5500,portrait_score,unassigned,3.316666666666667,3.316666666666667,0.6762726024084973,60
AF1033,datasets\processed\scut_fbp5500\images\AF1033.jpg,scut_fbp5500,portrait_score,unassigned,2.2666666666666666,2.2666666666666666,0.6604227374117243,60
AF1034,datasets\processed\scut_fbp5500\images\AF1034.jpg,scut_fbp5500,portrait_score,unassigned,3.05,3.05,0.7461766955734741,60
AF1035,datasets\processed\scut_fbp5500\images\AF1035.jpg,scut_fbp5500,portrait_score,unassigned,3.5166666666666666,3.5166666666666666,0.6507275372101721,60
AF1036,datasets\processed\scut_fbp5500\images\AF1036.jpg,scut_fbp5500,portrait_score,unassigned,2.75,2.75,0.4738947891530783,60
AF1037,datasets\processed\scut_fbp5500\images\AF1037.jpg,scut_fbp5500,portrait_score,unassigned,2.0,2.0,0.7130740328122925,60
AF1038,datasets\processed\scut_fbp5500\images\AF1038.jpg,scut_fbp5500,portrait_score,unassigned,2.65,2.65,0.8197767368650349,60
